ds,confirm,confirm_add,confirm_now,heal,heal_add,dead,dead_add,importedCase,importedCase_add
2022-12-05,9190921,16416,8747409,412945,3462,30567,42,27890,58
2022-12-06,9212751,21830,8764965,417181,4168,30605,38,27948,58
2022-12-07,9235320,22569,8783367,421300,4023,30653,48,27996,48
2022-12-08,9255924,20606,8799758,425449,4076,30717,64,28045,49
2022-12-09,9275059,19135,8813762,430525,5004,30772,55,28093,48
2022-12-10,9293435,18376,8827179,435439,4840,30817,45,28161,68
2022-12-11,9311491,18056,8841055,439557,4068,30879,62,28230,69
2022-12-12,856117,14813,381391,443791,4173,30935,56,28275,45
2022-12-13,9347275,20971,8868705,447586,3706,30984,49,28317,42
2022-12-14,9368776,21501,8887023,450696,3022,31057,73,28373,56
2022-12-15,9388639,19863,8904174,453352,2602,31113,56,28439,66
2022-12-16,9407919,19280,8920213,456537,3150,31169,56,28496,57
